k, $d_k(M)$
0, 1
1, 3
2, 6
3, 10
4, 15
5, 21
6, 28
7, 36
8, 45
9, 55
10, 66
11, 78
12, 91
13, 104
14, 117
15, 129
16, 140
17, 150
18, 159
19, 167
20, 174
21, 180
22, 185
23, 189
24, 191
25, 192
26, 192
27, 192
28, 192
29, 192
30, 192
31, 192
32, 192
33, 192
34, 192
35, 192
36, 193
37, 195
38, 197
39, 198
40, 198
41, 198
42, 198
43, 198
44, 198
45, 198
46, 198
47, 198
48, 198
49, 198
50, 199
51, 200
52, 201
53, 201
54, 201
55, 201
56, 201
57, 201
58, 201
59, 201
60, 201
61, 201
62, 201
63, 201
64, 201
65, 201
66, 201
67, 201
68, 201
69, 201
70, 201
71, 201
72, 201
73, 201
74, 201
75, 201
76, 201
77, 201
78, 201
79, 201
80, 201
81, 201
82, 201
83, 201
84, 201
85, 201
86, 201
87, 201
88, 201
89, 201
90, 201
91, 201
92, 201
93, 201
94, 201
95, 201
96, 201
97, 201
98, 201
99, 201
100, 201
