k, $d_k(M)$
0, 1
1, 3
2, 6
3, 10
4, 15
5, 21
6, 28
7, 36
8, 45
9, 55
10, 66
11, 77
12, 88
13, 99
14, 110
15, 121
16, 132
17, 142
18, 151
19, 159
20, 166
21, 172
22, 176
23, 179
24, 181
25, 182
26, 182
27, 182
28, 182
29, 182
30, 182
31, 182
32, 182
33, 182
34, 182
35, 182
36, 182
37, 182
38, 182
39, 182
40, 182
41, 182
42, 182
43, 182
44, 182
45, 182
46, 182
47, 182
48, 182
49, 182
50, 182
51, 182
52, 182
53, 182
54, 182
55, 182
56, 182
57, 182
58, 182
59, 182
60, 182
61, 182
62, 182
63, 182
64, 182
65, 182
66, 182
67, 182
68, 182
69, 182
70, 182
71, 182
72, 182
73, 182
74, 182
75, 182
76, 182
77, 182
78, 182
79, 182
80, 182
81, 182
82, 182
83, 182
84, 182
85, 182
86, 182
87, 182
88, 182
89, 182
90, 182
91, 182
92, 182
93, 182
94, 182
95, 182
96, 182
97, 182
98, 182
99, 182
100, 182
